Oatly,Oatgurt Peach,1.8
Oatly,Oatgurt Plain,1.7
Oatly,Oatgurt Mixed Berry,1.9
Oatly,Oatgurt Strawberry,1.9
Oatly,Original Oatmilk Ambient,0.96
Oatly,Barista Oatmilk Chilled Edge,0.81
Oatly,Barista Oatmilk Ambient Edge,0.75
Oatly,Original Oatmilk Chilled,0.62
Oatly,Full Fat Oatmilk Chilled,0.79
Oatly,Vanilla Frozen Dessert,1.4
Oatly,Chocolate Frozen Dessert,1.4
Beyond Meat,Beyond Meat Burger,6
Impossible Foods,Impossible Burger,2.2
Ben and Jerry's,"Peanut Butter Half Baked, non-dairy",2
Ben and Jerry's,Cherry Garcia,4
Godiva,Godiva MasterPieces Dark Chocolate Hearts,5
Kashi,"Kashi Go Lean Clusters Breakfast Cereal, Vanilla Pepita,",2
Kraft Heinz,Oscar Mayer Deli Fresh Uncured Ham Honey,10
Kraft Heinz,Kraft Mozarrella Fat Free Shredded Cheese,20
Krispy Kreme,Krispy Kreme Mini Crullers,2
Hershey,Milk Chocolate Bar,5
Winn-Dixie,Italian Style Crushed Tomatoes,0.6
Whole Foods,Seasoning Salt,30
Minute Maid,Original Low Pulp Orange Juice,1
Impossible Foods,Italian Sausage from Plants,20
,Chicken,9.69
,Beef,70.59
,Peas,0.98
,Pork,12.31
,Turkey,14.2
,Tofu,3.16
,Quorn Meatless Grounds,1.74
Blue Diamond,Honey Roasted Almonds,4
Blue Diamond,Original Almondmilk,0.6
Campbells,Cream of Chicken Condensed Soup,5
Campbells,V8 Original Vegetable Cocktail,2
Campbells,Italian Style Wedding Soup,5
Cape Cod,Original Kettle Cooked Potato Chips,4
Chobani,Blueberry Greek Yogurt,2
Costco,Shredded Sharp Cheddar Cheese,20
Costco,Organic Honey,1
Costco,Organic Plain Soymilk,0.6
Del Monte,Mandarin Oranges in Light Syrup,1
Del Monte,Fruit Cocktail,1
Del Monte,Cut Green Beans with Sea Salt,0.9
Diamond Foods,Roasted and Salted Cashews,4
Eden,Organic Black Beans,1
Frito-Lay,Sour Cream and Onion Potato Chips,4
Garden of Life,Chocolate Whey Protein Isolate,5
Hostess,Apple Pie Pastries,2
Hostess,Cream Cheese Coffee Cakes,2
Johanna,Plain Unsweetened Low Fat Yogurt,2
Kellogg,Honey Almond Flax Granola Bar,3
Kellogg,Kellog Nutri-Grain Bar Blueberry,2
Kohl,Organic Chopped Spinach,0.6
Kohl,Organic Apple Sauce,4
Land O' Lakes,Cottage Cheese,20
Land O' Lakes,Butter with Olive Oil and Sea Salt,2
Lenny and Larry's,Snickerdoodle Plant-Based Cookie,4
Linda's Food,Salsa Verde,1
Lindt,Assorted Chocolate Truffles,5
McCormick,Zesty Lemon Pepper Seasoning,30
McCormick,Classic Yellow Mustard,1
French's,Turkey Gravy Mix,4
Mcllhenny,Condensed Tomato Soup,5
Mission Foods,Whole Wheat Tortillas,4
Mondelez,Spearmint Trident Gum,2
Nabisco,Dry Roasted Peanuts,4
Nabisco,Creamy Peanut Butter,2
Newmans Own,Ginger Snap Cookies,4
Ocean Spray,Chocolate Covered Dried Cranberries,4
Peeps,Marshmallow Bunnies,2
Pepperidge Farm,White Italian Bread,1
Pepperidge Farm,Soft Wheat Bread,1
,Eggs,1.6
,Olive Oil,4.5
,Tomatoes,1.8
,Cocoa Powder,1.47
,Coconuts,2.1
,Catfish,9.34
,Salmon Fish,11.9
,Spiralina Seaweed,0
,Garlic,0.95
,Basil,1.6
,Blueberries,0.73
,Avocado,0.9
,Cranberries,0.9
,Edamame,2
,Basmati Rice,2.7
,All-Purpose Flour,0.65
,Milk,1.9
,Wine,3.4
,Earl Grey Tea,1.9
,Tequila,3.4
Coke,Coka-Cola,1.72
,Kombucha,2.4
,Lamb,39.2
,Lentil Beans,0.9
,Coffee,10.1
,Broccoli,0.61